분야,사업내용,사업기간,직접수행,지자체보조,민간보조,출연,위탁,융자,지방비매칭,시행주체,지방비매칭여부,사업비,단위사업명,경비내역1,경비내역1사업비,경비내역2,경비내역2사업비,경비내역3,경비내역3사업비,경비내역4,경비내역4사업비,경비내역5,경비내역5사업비,경비내역6,경비내역6사업비,경비내역7,경비내역7사업비,경비내역8,경비내역8사업비,출처파일,매칭패턴,주요부처,사업비규모,사업유형,지역관련성,민간참여도,성과계획서매칭,해당_성과계획서_파일,PDF_매칭여부,PDF_사업명,PDF_예산_억원,PDF_예산_백만원,예산_검증상태,예산_오차율,PDF_출처페이지,예산_숫자,경북관련도점수,경북관련성_최종
,해양쓰레기 정화 및 연안 정비,계속사업,N,Y,N,N,N,N,Y,지자체,432억원,"69,401,000천원",기타경상이전수입,해양 및 수자원 관리,"69,401,000천원",식품산업육성(지,"47,785,000천원",장(분야),100천원,농림수산,"305,529,000천원",000 관(부문),103천원,000 -,"305,529,000천원",관(부문),202천원,6 예산안,202천원,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"지자체보조, 지방비매칭",지자체,대규모(1000억원 이상),기타,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,69401000,64.0,B급_간접관련
,수산장비임대 지특 제주계정 이관,계속사업,N,Y,N,N,N,N,Y,지자체,0.1억원,"85,955,000천원",수산장비(임대)활용(제주),수산장비(임대)활용(제주),"10,000천원",주요항 건설(제,"6,081,000천원",장(분야),120천원,교통및물류,"85,955,000천원",000 관(부문),124천원,000 5000 항만개발 및 관리,"80,722,000천원",,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,지자체보조,지자체,대규모(1000억원 이상),기타,일반,공공주도,부분매칭,,No,,0.0,0,,0.0,0,85955000,64.0,B급_간접관련
,전기설비점검 및 안전관리사업 등,계속사업,N,N,Y,Y,N,N,N,한국전기안전공사,,"6,000,000천원",전기차충전시설통합관리시스템구축(정보화),전기차충전시설통합관리시스템구축(정보화),"176,000천원",에너지신산업,"4,000,000천원",5200 재생에너지및에너지,"6,000,000천원",000 신산업활성화 -,18천원,관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),1천원,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,출연,기타,대규모(1000억원 이상),인프라/건설,일반,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,6000000,64.0,B급_간접관련
,도시환경 불량지역 정비 개량(제주),계속사업,Y,Y,N,N,N,N,Y,지자체,45억원,"89,573,000천원",제주특별자치도계정 세 출 합 계,도시재생사업(제주),"16,375,000천원",산업단지진입도,"1,801,000천원",관(부문),143천원,산업단지,"1,801,000천원",000 6000 산업단지개발및지원,"1,801,000천원",,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,직접수행,지자체,대규모(1000억원 이상),기타,지역특화,공공주도,부분매칭,,No,,0.0,0,,0.0,0,89573000,64.0,C급_정책참고
,정책연구개발사업,계속사업,Y,Y,Y,Y,N,N,Y,국가,139억원,"55,362,000천원",정책연구개발사업,정책연구개발사업,"1,060,000천원",평생교육 기반구,"39,608,000천원",4100 평생직업교육 체제,"55,362,000천원",000 구축,1천원,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 2권.txt,"직접수행, 지자체보조, 민간보조, 출연, 지방비매칭",국가기관,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,55362000,61.60000000000001,B급_간접관련
,대한민국 정책브리핑시스템 운영 및 공직자 통합메일 메일시스템 운영으로 업무 지원,계속사업,Y,Y,Y,N,N,N,Y,국가,6억원,"51,124,000천원",정책포털 시스템 운영(정보화),정책포털 시스템 운영(정보화),"3,960,000천원",462) 지역문화 진흥 및 문,"51,124,000천원",462),1천원,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,"직접수행, 지자체보조, 민간보조, 지방비매칭",국가기관,대규모(1000억원 이상),지원/보조,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,51124000,61.60000000000001,B급_간접관련
,산림과학기술개발 및 연구 기반구축,계속사업,Y,N,N,N,N,N,N,국가,,"52,608,000천원",기본경비,산림과학연구(R&D),"51,508,000천원",기상이변 대응 새로운 밀원수종 개발로 꿀벌 보호 및 생,"1,100,000천원",산림과학기술정,"2,787,000천원",,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 3권.txt,직접수행,국가기관,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,52608000,61.60000000000001,B급_간접관련
,정책개발 및 주요 정책현안 조사연구 등,계속사업,Y,N,Y,Y,N,N,N,국가,,"96,778,000천원",정책연구개발,정책연구개발,"339,000천원",국제협력관리,"96,778,000천원",,,,,,,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 4권.txt,"직접수행, 민간보조, 출연",국가기관,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,96778000,61.60000000000001,B급_간접관련
,정책연구과제 수행을 위한 연구개발비,계속사업,Y,N,N,Y,N,N,N,국가,,"59,997,000천원",정책연구개발사업,정책연구개발사업,"2,878,000천원",국토교통연구기,"25,632,000천원",관(부문),202천원,6 예산안,202천원,감 사 업 개 요 및 경 비 내 역 항(프로그램) 사업(단위사업),3천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 5권.txt,"직접수행, 출연",국가기관,대규모(1000억원 이상),R&D/연구개발,전국단위,공공주도,부분매칭,,No,,0.0,0,,0.0,0,59997000,61.60000000000001,B급_간접관련
,청소년정책 개발 등,계속사업,N,N,N,Y,N,N,N,한국청소년정책연구원,,"31,267,000천원",한국해양수산개,한국청소년정책연구원(R&D),"11,518,000천원",한국해양수산개,"31,267,000천원",000 발원 -,153천원,관(부문),202천원,6 예산안,202천원,,,,,,,2. 2026년도 세입세출예산안사업별 설명서 1권.txt,출연,기타,대규모(1000억원 이상),R&D/연구개발,일반,공공주도,매칭어려움,,No,,0.0,0,,0.0,0,31267000,60.0,B급_간접관련
